Name;Birthday;Citizenship;Weight;Height;Link
Кэтлин Чукагян;28 декабря 1988;США;56;175;https://www.sports.ru/tags/161094873/
Доминик Рейес;26 декабря 1989;США;93;193;https://www.sports.ru/dominick-reyes/
Михаил Кокляев;17 декабря 1978;Россия;160;193;https://www.sports.ru/koklyaev/
Али Багаутинов;10 июня 1985;Россия;56;162;https://www.sports.ru/tags/152664755/
Роман Зенцов;10 сентября 1973;Россия;;185;https://www.sports.ru/tags/48234333/
Юрайя Фэйбер;14 мая 1979;США;66;168;https://www.sports.ru/tags/6132078/
Том Аспинэлл;11 апреля 1993;Англия;114;196;https://www.sports.ru/tom-aspinall/
Лукас Мартин Маттиссе;27 сентября 1982;Аргентина;63;169;https://www.sports.ru/tags/74032136/
Серхио Мартинес;21 февраля 1975;Аргентина;72;178;https://www.sports.ru/tags/4148939/
Роман Кармазин;2 января 1973;Россия;;181;https://www.sports.ru/tags/1045307/
Нурулло Алиев;16 октября 1999;Таджикистан;70;177;https://www.sports.ru/nurullo-aliev/
Тагир Уланбеков;8 июля 1991;Россия;56;178;https://www.sports.ru/tagir-ulanbekov/
Владимир Мышев;13 мая 1998;Россия;61;170;https://www.sports.ru/tags/161109308/
Дуглас Лима;5 января 1988;Бразилия;77;185;https://www.sports.ru/douglas-lima/
Ник Ньюэлл;17 марта 1986;США;70 кг;178 см;https://www.sports.ru/tags/145870426/
Келли Павлик;4 апреля 1982;США;;189;https://www.sports.ru/tags/1045907/
Эдмен Шахбазян;20 ноября 1997;США Армения;84;188;https://www.sports.ru/edmen-shahbazyan/
Александра Албу;14 июля 1990;Россия Молдова;52;160;https://www.sports.ru/tags/152951944/
Чан Сон Юнг;17 марта 1987;Южная Корея;66;170;https://www.sports.ru/korean-zombie/
Крис Вайдман;17 июня 1984;США;84 кг;187 см;https://www.sports.ru/chris-weidman/
Максим Гришин;2 мая 1984;Россия;92;190;https://www.sports.ru/maxim-grishin/
Руслан Караев;19 мая 1983;Россия;95;188;https://www.sports.ru/tags/20265615/
Дмитрий Чудинов;15 сентября 1986;Россия;;;https://www.sports.ru/tags/6359151/
Гильермо Джонс;5 мая 1972;Панама;;;https://www.sports.ru/tags/5374057/
Вячеслав Глазков;10 сентября 1984;Украина;;190;https://www.sports.ru/tags/5345062/
Исмаил Силлах;28 февраля 1985;Украина;79 кг;185 см;https://www.sports.ru/tags/3536815/
Рикардо Майорга;3 октября 1973;Никарагуа;;180;https://www.sports.ru/tags/1045985/
Султан Ибрагимов;8 марта 1975;Россия;;187;https://www.sports.ru/tags/1045386/
Джеймс Тони;23 августа 1968;США;104;178;https://www.sports.ru/tags/1045379/
Гилберт Бернс;20 июля 1986;Бразилия;77;178;https://www.sports.ru/gilbert-burns/
Анатолий Малыхин;11 января 1988;Россия;;;https://www.sports.ru/anatoliy-malykhin/
Ион Куцелаба;14 декабря 1993;Молдова;93;185;https://www.sports.ru/ion-cutelaba/
Хильберто Рамирес;19 июня 1991;Мексика;;;https://www.sports.ru/gilberto-ramirez/
Рико Верховен;10 апреля 1989;Нидерланды;;;https://www.sports.ru/tags/145740417/
Иван Дычко;11 августа 1990;Казахстан;;206 см;https://www.sports.ru/tags/142598163/
Диего Санчес;31 декабря 1981;США;77;178;https://www.sports.ru/tags/51097458/
Роман Гонсалес;17 июня 1987;Никарагуа;52;160;https://www.sports.ru/tags/41456482/
Гекхан Саки;8 октября 1983;Нидерланды Турция;97;182;https://www.sports.ru/tags/7464153/
Реми Боньяски;10 января 1976;Нидерланды;111;193;https://www.sports.ru/tags/7429070/
Михаил Заяц;;Россия;90;181;https://www.sports.ru/tags/6229007/
Тито Ортис;23 января 1975;США;93;188;https://www.sports.ru/tags/6186795/
Антонио Маргарито;18 марта 1978;Мексика;67;180;https://www.sports.ru/tags/1046024/
Алексей Кунченко;2 мая 1984;Россия;77;178;https://www.sports.ru/tags/161083707/
Евгений Тищенко;15 июля 1991;Россия;91;196;https://www.sports.ru/tags/151141022/
Евгений Хитров;18 августа 1988;Украина;75;179;https://www.sports.ru/tags/142286517/
Магомед Маликов;2 августа 1981;Украина;95;186;https://www.sports.ru/tags/130794561/
Кубрат Пулев;4 мая 1981;Болгария;112;194;https://www.sports.ru/kubrat-pulev/
Тайрон Спонг;3 сентября 1985;Нидерланды Суринам;95;188;https://www.sports.ru/tyrone-spong/
Кирилл Сидельников;17 августа 1988;Россия;;180;https://www.sports.ru/kirill-sidelnikov/
Хумисо Икжополенг;5 декабря 1979;Ботсвана;57;167;https://www.sports.ru/tags/5496951/
Бахтияр Артаев;14 марта 1983;Казахстан;69;183;https://www.sports.ru/tags/5375982/
Тимоти Брэдли;29 августа 1983;США;67;168;https://www.sports.ru/tags/4265775/
Хулио Сезар Чавес-младший;16 февраля 1986;Мексика;;182.9;https://www.sports.ru/tags/4105242/
Рикки Хаттон;6 октября 1978;Англия;;170;https://www.sports.ru/tags/1046036/
Шарабутдин Магомедов (Шара Буллет);16 мая 1994;Россия;77;187;https://www.sports.ru/sharabutdin-magomedov/
Алекс Перейра;7 июля 1987;Бразилия;84;193;https://www.sports.ru/alex-pereira/
Марат Балаев;1 января 1976;Россия;66;170;https://www.sports.ru/tags/161090955/
Зелим Имадаев;25 января 1995;Россия;77;182;https://www.sports.ru/tags/161089163/
Джонни Уокер;30 марта 1992;Бразилия;93;198;https://www.sports.ru/tags/161088864/
Алексей Папин;6 октября 1987;Россия;91;185;https://www.sports.ru/alekseipapin/
Роберт Хелениус;2 января 1984;Швеция;;200;https://www.sports.ru/robert-khelenius/
Бахыт Сарсекбаев;29 ноября 1981;Казахстан;69;;https://www.sports.ru/tags/5376012/
Жан Паскаль;28 октября 1982;Канада;80;179;https://www.sports.ru/tags/3838412/
Сергей Ляхович;29 мая 1976;Беларусь;;193;https://www.sports.ru/tags/1046264/
Шугар Рэй Робинсон;3 мая 1921;США;;180;https://www.sports.ru/tags/1045864/
Джо Кальзаге;23 марта 1972;Великобритания;;182;https://www.sports.ru/tags/1045798/
Сослан «Кобра» Асбаров;;Россия;93;187;https://www.sports.ru/soslan-asbarov/
Тимур «Витязь» Слащинин;;Россия;118;195;https://www.sports.ru/timur-vityaz-slashchinin/
Гаджи «Автомат» Наврузов;11 апреля 1989;Россия;112;189;https://www.sports.ru/gadzhi-avtomat-navruzov/
Субриэль Матиас;31 марта 1992;Пуэрто-Рико;63,5;173;https://www.sports.ru/tags/161095635/
Даниэль Дюбуа;6 сентября 1997;Великобритания;110;196;https://www.sports.ru/tags/161095296/
Марлон Мораес;26 апреля 1988;Бразилия;61;168;https://www.sports.ru/marlon-moraes/
Диллон Дэнис;22 августа 1993;США;79;182;https://www.sports.ru/tags/161085527/
Каб Суонсон;11 февраля 1983;США;65;170;https://www.sports.ru/tags/161076347/
Леон Эдвардс;25 августа 1991;Англия;77;183;https://www.sports.ru/leon-dwards/
Сергей Липинец;;;;;https://www.sports.ru/tags/161072467/
Юньер Дортикос;;;;;https://www.sports.ru/tags/161065685/
Тони Йока;27 апреля 1992;Франция;;200;https://www.sports.ru/tags/161051887/
Адонис Стивенсон;22 сентября 1977;Канада;79;180;https://www.sports.ru/tags/149949014/
Виктор Постол;16 января 1984;Украина;63;180;https://www.sports.ru/tags/147467373/
Кэт Зингано;1 июля 1982;США;61;167;https://www.sports.ru/tags/146749340/
Адильбек Ниязымбетов;19 мая 1989;Казахстан;;180;https://www.sports.ru/tags/142595676/
Кларисса Шилдс;17 марта 1995;США;;176;https://www.sports.ru/tags/142548332/
Эдриен Бронер;28 июля 1989;США;67;169;https://www.sports.ru/tags/81993599/
Кшиштоф Влодарчик;19 сентября 1981;;;186 сантиметров;https://www.sports.ru/tags/70122249/
Бермэйн Стиверн;1 ноября 1978;Канада;;188;https://www.sports.ru/tags/7772279/
Дэн Харди;;Англия;77;183;https://www.sports.ru/tags/7023662/
Маркос Рене Майдана;17 июля 1983;Аргентина;66;176;https://www.sports.ru/tags/6277196/
Александр Бахтин;6 августа 1981;Россия;;173.7;https://www.sports.ru/tags/4567132/
Карл Фроч;2 июля 1977;Англия;76.2 кг;185 см;https://www.sports.ru/tags/3685436/
Сергей Водопьянов;20 сентября 1987;Россия;;165;https://www.sports.ru/tags/3596561/
Альберт Селимов;5 апреля 1986;Россия;;170;https://www.sports.ru/tags/3587656/
Крис Арреола;5 марта 1981;США;109;194,5;https://www.sports.ru/tags/3118497/
Джек Демпси;24 июня 1900;США;93;185;https://www.sports.ru/tags/1047649/
Феликс Тринидад;10 января 1973;Пуэрто-Рико;77;180;https://www.sports.ru/tags/1046012/
Сергей Дзинзирук;1 марта 1976;Украина;;183;https://www.sports.ru/tags/1045979/
Святослав Коваленко;;Россия;80;185;https://www.sports.ru/svyatoslav-kovalenko/
Нико Али Уолш;;США;73;183;https://www.sports.ru/tags/161121898/
Сакен Бибосынов;3 июля 1997;Казахстан;;;https://www.sports.ru/tags/161121437/
Артем Тарасов;13 июня 1990;Россия;70;178;https://www.sports.ru/artem-tarasov/
Мичел Перейра;6 октября 1993;Бразилия;77;185;https://www.sports.ru/tags/161104471/
Жаирзиньо Розенстрайк;17 марта 1988;Суринам;118;188;https://www.sports.ru/rozenstruik/
Вэйли Чжан;13 августа 1989;Китай;51;163;https://www.sports.ru/weili-zhang/
Дэн Хукер;13 февраля 1990;Новая Зеландия;70;183;https://www.sports.ru/dan-hooker/
Карл Фрэмптон;;;;;https://www.sports.ru/tags/161057104/
Тимофей Настюхин;24 ноября 1989;Россия;75;170;https://www.sports.ru/tags/161056729/
Адам Яндиев;7 июля 1988;Россия;;180;https://www.sports.ru/adam-yandiev/
Абдул-Керим Эдилов;25 ноября 1991;Россия;93;185;https://www.sports.ru/tags/161055238/
Марина Мороз;8 сентября 1991;Украина;52;170;https://www.sports.ru/tags/161018847/
Алексей Махно;16 мая 1990;Россия;73;175;https://www.sports.ru/alexey-makhno/
Дмитрий Сосновский 1989;6 июля 1988;Россия Украина;110 кг;190 см;https://www.sports.ru/tags/155259694/
Ренан Барао;27 февраля 1987;Бразилия;61;167;https://www.sports.ru/tags/153071340/
Луис Ортис;;Куба;;193;https://www.sports.ru/luis-ortis/
Брайант Дженнингс;25 сентября 1984;США;102;188;https://www.sports.ru/tags/148314114/
Лео Санта Крус;10 августа 1988;Мексика;57;175;https://www.sports.ru/tags/145518629/
Майкл Конлан;19 ноября 1991;Ирландия;;172;https://www.sports.ru/tags/142594682/
Кайла Харрисон;2 июля 1990;США;75;173;https://www.sports.ru/tags/142389929/
Майк Перес;20 октября 1985;Куба;110;185;https://www.sports.ru/tags/93658346/
Джереми Стивенс;26 мая 1986;США;66;174;https://www.sports.ru/jeremy-stephens/
Джо Лаузон;22 мая 1984;;70;177;https://www.sports.ru/joe-lauzon/
Мариуш Пудзяновски;7 февраля 1977;Польша;117;186;https://www.sports.ru/tags/69347507/
Андрей Замковой;4 июля 1987;Россия;;174;https://www.sports.ru/tags/29515509/
Хосе Франциско Мендоса;9 апреля 1972;Колумбия;;;https://www.sports.ru/tags/9993695/
Тарас Шелестюк;30 ноября 1985;Украина;;179;https://www.sports.ru/tags/7382690/
Ренато Собрал;7 сентября 1975;Бразилия;93;185;https://www.sports.ru/tags/6718899/
Артур Кишенко;14 ноября 1986;Украина;;;https://www.sports.ru/tags/6564200/
Форрест Гриффин;1 июля 1979;США;93;191;https://www.sports.ru/tags/6154714/
Джон Фитч;24 февраля 1978;США;77;183;https://www.sports.ru/tags/5423782/
Евгений Романов;20 июля 1985;Россия;90;183;https://www.sports.ru/evgeniy-romanov/
Роман Романчук;3 июля 1979;Россия;;;https://www.sports.ru/tags/4778662/
Геннадий Мартиросян;23 февраля 1980;Россия;71;178;https://www.sports.ru/tags/4228221/
Александр Устинов;7 декабря 1976;Беларусь Россия;126;202;https://www.sports.ru/tags/4117955/
Ислам Тимурзиев;9 января 1983;Россия;;186;https://www.sports.ru/tags/3617845/
Пернелл Уитакер;2 января 1964;США;70;168;https://www.sports.ru/tags/1046009/
Алексей Тищенко;29 мая 1984;Россия;;167;https://www.sports.ru/tags/1045599/
Елена Беркова;11 марта 1985;Россия;55;158;https://www.sports.ru/elena-berkova/
Анатолий Токов;17 февраля 1990;;84;181;https://www.sports.ru/tokov-anatoly/
Баходир Жалолов;8 июля 1994;Узбекистан;;;https://www.sports.ru/tags/161121363/
Глеб Бакши;12 ноября 1995;Россия Украина;;;https://www.sports.ru/tags/161121259/
Магомед Курбанов;3 августа 1995;Россия;69;177;https://www.sports.ru/magomed-kurbanov/
Джиган;2 августа 1985;Украина Россия;;172;https://www.sports.ru/geegun/
Канат Ислам;13 сентября 1984;Казахстан;;178 см;https://www.sports.ru/tags/161116124/
Бекзат Нурдаулетов;10 апреля 1998;Казахстан;;188 см;https://www.sports.ru/tags/161116108/
Хасан Магомедшарипов;6 октября 2000;Россия;65;180;https://www.sports.ru/khasan-magomedsharipov/
Асу Алмабаев;25 января 1994;Казахстан;57 кг;163 см;https://www.sports.ru/tags/161114379/
Василий Камоцкий;;Россия;168;;https://www.sports.ru/tags/161094223/
Евгений Гончаров;;Россия;115;187;https://www.sports.ru/tags/161093690/
Григорий Попов;18 апреля 1984;Россия;61;170;https://www.sports.ru/tags/161093688/
Оскар Ривас;6 июня 1987;Колумбия Канада;97;185;https://www.sports.ru/tags/161093623/
Мишель Уотерсон;6 января 1986;США;53;161;https://www.sports.ru/tags/161091278/
Исмаил Наурдиев;18 августа 1996;Австрия;77;178;https://www.sports.ru/ismail-naurdiev/
Грегор Гиллеспи;18 марта 1987;США;70;175;https://www.sports.ru/tags/161088425/
Ренато Мойкано;21 мая 1989;Бразилия;66;180;https://www.sports.ru/tags/161081560/
Татьяна Суарес;19 декабря 1990;США;52;163;https://www.sports.ru/tags/161078481/
Ванхенг Менайотин;27 октября 1985;Таиланд;47;158;https://www.sports.ru/tags/161077943/
Элейдер Альварес;8 апреля 1984;Колумбия;79;183;https://www.sports.ru/tags/161077303/
Джозеф Бенавидес;31 июля 1984;США;57;163;https://www.sports.ru/joseph-banavidez/
Реджис Прогрейс;24 января 1989;США;;;https://www.sports.ru/tags/161075202/
Вартан Асатрян;22 июня 1993;Россия;57;162;https://www.sports.ru/tags/161069426/
Диего Брандао;27 мая 1987;Бразилия;70;170;https://www.sports.ru/tags/161069419/
Клаудиа Гаделья;7 декабря 1988;Бразилия;52;162;https://www.sports.ru/tags/161068720/
Келвин Гастелум;24 октября 1991;США;84;175;https://www.sports.ru/kelvin-gastelum/
Джессика Андраде;25 сентября 1991;Бразилия;57;155;https://www.sports.ru/tags/161060825/
Бектемир Меликузиев;8 апреля 1996;Узбекистан;;177;https://www.sports.ru/tags/161051810/
Эрисланди Савон;21 июля 1990;Куба;;192;https://www.sports.ru/tags/161051281/
Виталий Дунайцев;12 апреля 1992;Россия;64;172;https://www.sports.ru/tags/161033512/
Кшиштоф Гловацки;31 июля 1986;Польша;91;183;https://www.sports.ru/tags/161029024/
Андрей Князев;6 февраля 1986;Россия;90;181;https://www.sports.ru/tags/161017213/
Жанат Жакиянов;4 ноября 1983;Казахстан;;;https://www.sports.ru/tags/161013583/
Чед Мендеc;1 мая 1985;США;65;168;https://www.sports.ru/tags/161009166/
Иван Кирпа;6 марта 1978;Россия;70 кг;170 см;https://www.sports.ru/tags/157490826/
Рамазан Эмеев;20 мая 1987;Россия;83;177;https://www.sports.ru/ramazan-emeev/
Алексей Кудин;20 декабря 1984;Беларусь;110;188;https://www.sports.ru/tags/147069218/
Робейси Рамирес;20 декабря 1993;Куба;;162;https://www.sports.ru/tags/142594818/
Кэти Тэйлор;2 июля 1986;Ирландия;;165;https://www.sports.ru/tags/142547797/
Надежда Торлопова;23 ноября 1978;Россия;;175;https://www.sports.ru/tags/142507947/
Магомедрасул Меджидов;27 сентября 1986;Азербайджан;;190;https://www.sports.ru/tags/142372378/
Орландо Салидо;16 ноября 1980;Мексика;57 кг;168 см;https://www.sports.ru/tags/75571611/
Штефан Штруве;18 февраля 1988;Нидерланды;120;213;https://www.sports.ru/tags/69912792/
Габриэль Гонзага;18 мая 1979;Бразилия;;;https://www.sports.ru/tags/64539688/
Ванес Мартиросян;1 мая 1986;США Армения;70;183;https://www.sports.ru/tags/56744003/
Софья Очигава;7 июля 1987;Россия;;170;https://www.sports.ru/tags/33674657/
Боб Сапп;22 сентября 1973;США;150;193;https://www.sports.ru/tags/10672988/
Юхо Хаапойя;22 октября 1980;Финляндия;106;180;https://www.sports.ru/tags/10386351/
Бретт Роджерс;17 февраля 1981;США;тяжелый (свыше 93 кг/206 фунтов);193выше 93 кг/206 фунтов);https://www.sports.ru/tags/9359829/
Габриэль Росадо;14 января 1986;США;72;183;https://www.sports.ru/tags/7779348/
Хесус Родригез;20 декабря 1979;США;;170;https://www.sports.ru/tags/7772249/
Шинья Аоки;9 мая 1983;Япония;70;180;https://www.sports.ru/tags/7531139/
Виктор Ортис;31 января 1987;США;;175;https://www.sports.ru/tags/7224177/
Ибрагим Магомедов;;Россия;104;183;https://www.sports.ru/tags/7017483/
Тиаго Алвеш;3 октября 1983;Бразилия;77;176;https://www.sports.ru/tags/6894260/
Семми Шилт;27 октября 1973;Нидерланды;133;212;https://www.sports.ru/tags/6567819/
Бэлик Галанов;14 февраля 1989;Россия;;;https://www.sports.ru/tags/6359118/
Гилберт Айвел;;;;;https://www.sports.ru/tags/6258330/
Михаил Малютин;;;71;175;https://www.sports.ru/tags/6229015/
Кевин Рэндлмен;10 августа 1971;США;93;178;https://www.sports.ru/tags/6175429/
Хуан Мануэль Лопес;30 июня 1983;Пуэрто-Рико;;174;https://www.sports.ru/tags/4474186/
Деметриус Андраде;26 февраля 1988;США;72;185;https://www.sports.ru/tags/4260687/
Георгий Балакшин;6 марта 1980;Россия;;163;https://www.sports.ru/tags/3592611/
Геннадий Ковалев;17 мая 1983;Россия;;173;https://www.sports.ru/tags/3583760/
Александр Алексеев;30 апреля 1981;Россия;;188;https://www.sports.ru/tags/3067872/
Дмитрий Кириллов;24 ноября 1978;Россия;;162;https://www.sports.ru/tags/1046151/
Пол Малиньяджи;23 ноября 1980;США;;174;https://www.sports.ru/tags/1046067/
Андрей Котельник;29 декабря 1977;Украина;;171;https://www.sports.ru/tags/1046060/
Вадим Токарев;29 февраля 1972;Россия;;180;https://www.sports.ru/tags/1045613/
Корри Сандерс;7 января 1966;ЮАР;108;193;https://www.sports.ru/tags/1045575/
Хасим Рахман;7 ноября 1972;США;;190;https://www.sports.ru/tags/1045372/
Шэннон Бриггс;4 декабря 1971;;;193;https://www.sports.ru/tags/1045356/
Ринат Фахретдинов;28 сентября 1991;Россия;77;183;https://www.sports.ru/tags/161137691/
Джамал Хилл;19 мая 1991;США;93;193;https://www.sports.ru/jamahal-hill/
Александр Илич;3 января 1989;Сербия;84;187;https://www.sports.ru/aleksandar-ilic/
Александр Романов;11 декабря 1990;Молдова;117;188;https://www.sports.ru/alexander-romanov-king-kong/
Вячеслав Борщев;8 января 1992;Россия;70;180;https://www.sports.ru/viacheslav-borshchev/
Олег Монгол;;Россия;63;170;https://www.sports.ru/oleg-mongol/
Данил «Регбист» Алеев;;Россия;73;183;https://www.sports.ru/danil-regbist-aleev/
Тимур «Архангел» Никулин;;Россия;95;179;https://www.sports.ru/timur-arhangel-nikulin/
Вагаб Вагабов;11 февраля 1986;Россия;84;190;https://www.sports.ru/vagab-vagabov/
Крис Барнетт;14 июня 1986;США;120;175;https://www.sports.ru/tags/161125691/
"Исрапил ""Мурад"" Рамазанов";13 сентября 1985;Россия;;;https://www.sports.ru/murad-taxi/
Ричард Торрес;1 июня 1999;США;;;https://www.sports.ru/tags/161121370/
Имам Хатаев;31 августа 1994;Россия;;;https://www.sports.ru/tags/161121166/
Артем Резников;11 января 1992;Казахстан;70 кг;172 см;https://www.sports.ru/tags/161116103/
Камшыбек Кункабаев;18 ноября 1991;Казахстан;91 кг;190 см;https://www.sports.ru/tags/161115918/
Марлон Вера;2 декабря 1992;Эквадор;61;173;https://www.sports.ru/marlon-vera/
Кевин Холланд;5 ноября 1992;США;84;191;https://www.sports.ru/kevin-holland/
Кори Сэндхэген;20 апреля 1992;США;61;180;https://www.sports.ru/cory-sandhagen/
Роман Богатов;15 декабря 1990;Россия;70;175;https://www.sports.ru/tags/161108855/
Владимир Зенин;21 февраля 1977;Россия;70;;https://www.sports.ru/tags/161106027/
Бруно Силва;;Бразилия;;;https://www.sports.ru/tags/161094468/
Александр Ракич;6 февраля 1992;Австрия;93;196;https://www.sports.ru/aleksandar-rakic/
Кудратилло Абдукахоров;29 августа 1983;Узбекистан;67;177;https://www.sports.ru/tags/161091330/
Брэндон Адамс;31 июля 1989;США;72;175;https://www.sports.ru/tags/161091321/
Джаред Каннонир;3 марта 1984;США;84;183;https://www.sports.ru/jared-cannonier/
Георгий Караханян;29 мая 1985;США Россия;65;173;https://www.sports.ru/tags/161089935/
Крон Грейси;11 июля 1988;Бразилия США;66;175;https://www.sports.ru/tags/161089746/
Патрики Фрейре;21 января 1986;Бразилия;70;170;https://www.sports.ru/patricky-freire/
Гаджимурад Антигулов;1 января 1989;Россия;93;180;https://www.sports.ru/gadzhimurad-antigulov/
Александр Эрнандес;1 октября 1992;США;70;175;https://www.sports.ru/tags/161088333/
Нейман Грейси;12 декабря 1988;Бразилия США;77;183;https://www.sports.ru/neiman-gracie/
Иса Чаниев;2 ноября 1992;Россия;61;170;https://www.sports.ru/tags/161086316/
Тиаго Сантос;7 января 1984;Бразилия;92;188;https://www.sports.ru/santos-thiago/
Кори Андерсон;22 сентября 1989;США;93;191;https://www.sports.ru/corey-anderson/
Майк Перри;15 сентября 1991;США;77;177;https://www.sports.ru/mike-perry/
Муслим Салихов;9 июня 1984;Россия;77;180;https://www.sports.ru/muslim-salikhov/
Элиас Теодору;31 мая 1988;Канада;84;185;https://www.sports.ru/tags/161076514/
Ракель Пеннингтон;5 сентября 1988;США;61;170;https://www.sports.ru/tags/161076360/
Хосе Карлос Рамирес;12 августа 1992;США;63;178;https://www.sports.ru/tags/161076267/
Татьяна Дваждова;;;;;https://www.sports.ru/tags/161073502/
Перл Гонсалес;12 августа 1986;США;52;162;https://www.sports.ru/tags/161068756/
Иван Баранчик;24 января 1993;Беларусь;;170;https://www.sports.ru/tags/161066105/
Георгий Кушиташвили;;;;;https://www.sports.ru/tags/161064763/
Михаил Мохнаткин;16 января 1990;Россия;101;187;https://www.sports.ru/mikhail-mokhnatkin/
Майки Гарсия;15 декабря 1987;США;63;168;https://www.sports.ru/tags/161062646/
Екатерина Ковалева;;Беларусь;;;https://www.sports.ru/tags/161058210/
Джулианна Пенья;;США;61;170;https://www.sports.ru/julianna-pena/
Хусейн Халиев;3 августа 1988;Россия;;;https://www.sports.ru/tags/161055207/
Ли Цянь;6 июня 1990;Китай;;;https://www.sports.ru/tags/161051869/
Ингрит Лорена Валенсия Виктория;3 сентября 1988;Колумбия;;;https://www.sports.ru/tags/161051797/
Доржнямбуу Отгондалай;28 января 1988;Монголия;;170;https://www.sports.ru/tags/161051366/
Тони Белью;30 ноября 1982;Великобритания;97;189;https://www.sports.ru/tags/161047634/
Фабио Мальдонадо;17 марта 1980;Бразилия;92;185;https://www.sports.ru/tags/161044596/
Артемий Ситенков;;;;;https://www.sports.ru/tags/161037415/
Константин Пономарев;17 октября 1992;Россия;;;https://www.sports.ru/tags/161016210/
Хасанбой Дусматов;24 июня 1993;Узбекистан;;156;https://www.sports.ru/tags/159112081/
Александр Хижняк;3 августа 1995;Украина;;181;https://www.sports.ru/tags/157515235/
Виталий Гурков;27 марта 1985;Беларусь;75;186;https://www.sports.ru/tags/157202726/
Андрей Руденко;4 сентября 1983;Украина;107;184;https://www.sports.ru/tags/150423494/
Руслан Магомедов;26 ноября 1986;Россия;107;191;https://www.sports.ru/tags/146050291/
Ямагучи Фалькао Флорентино;24 декабря 1987;Бразилия;;179;https://www.sports.ru/tags/142595456/
Тервел Пулев;10 января 1983;Болгария;;189;https://www.sports.ru/tervel-pulev/
Рета Мурата;12 января 1986;Япония;;182;https://www.sports.ru/tags/142586742/
Эскива Фалькао;12 декабря 1989;Бразилия;;178;https://www.sports.ru/tags/142586731/
Ласаро Альварес;28 января 1991;Куба;;173;https://www.sports.ru/tags/142586665/
Мариуш Вах;14 декабря 1979;Польша;114;202;https://www.sports.ru/tags/112991589/
Фил Дэвис;25 сентября 1984;США;93;188;https://www.sports.ru/phil-davis/
Келл Брук;;;;;https://www.sports.ru/kell-brook/
Шамиль Абдурахимов;2 сентября 1981;Россия;119;190;https://www.sports.ru/shamil-abdurakhimov/
Пол Дэйли;21 февраля 1983;Великобритания;78;175;https://www.sports.ru/tags/70605849/
Тугстсогт Ньямбаяр;23 июня 1992;Монголия;;168;https://www.sports.ru/tags/31324484/
Стефан Боннар;4 апреля 1977;США;93;193;https://www.sports.ru/tags/17756266/
Антонио Рожерио Ногейра;2 июня 1976;Бразилия;93;188;https://www.sports.ru/tags/15394506/
Майк Свик;19 июня 1979;США;76;185;https://www.sports.ru/tags/13437742/
Джейсон Миллер;24 декабря 1980;США;84;185;https://www.sports.ru/tags/10889324/
Мэтт Серра;2 июня 1974;США;77;168;https://www.sports.ru/tags/10111506/
Джонни Гонсалес;15 сентября 1981;Мексика;;171;https://www.sports.ru/tags/10084089/
Андрей Еськин;2 апреля 1976;Казахстан;;;https://www.sports.ru/tags/7878150/
Фрэнк Шемрок;8 декабря 1972;Мексика;84;178;https://www.sports.ru/tags/7594176/
Орландо Крус;1 июля 1981;Пуэрто-Рико;;163;https://www.sports.ru/tags/7523546/
Виктор Фонсека;26 августа 1981;Пуэрто-Рико;;173;https://www.sports.ru/tags/7523535/
Франческо Пьянета;8 октября 1984;Италия;;196;https://www.sports.ru/tags/7506429/
Мелвин Манхуф;;Нидерланды;90;174;https://www.sports.ru/melvin-manhoef/
Али Фунека;;ЮАР;;;https://www.sports.ru/tags/6948830/
Айк Ибеабучи;2 февраля 1973;Нигерия;;188;https://www.sports.ru/tags/6797014/
Дэн Лаузон;30 марта 1988;США;70;178;https://www.sports.ru/tags/6786635/
Дэвид Хагсма;;Нидерланды;90;;https://www.sports.ru/tags/6692015/
Радмир Габдуллин;20 декабря 1987;Россия;;;https://www.sports.ru/tags/6580944/
Майти Мо;8 октября 1970;США;133;185;https://www.sports.ru/tags/6567821/
Хонг Ман Чой;30 октября 1980;Южная Корея;150;218;https://www.sports.ru/tags/6480810/
Александр Котлобай;1 апреля 1980;Россия;;;https://www.sports.ru/tags/6303492/
Араик Амбарцумов;;Россия;;;https://www.sports.ru/tags/6182558/
Педро Риззо;3 мая 1974;Бразилия;113;187;https://www.sports.ru/tags/6175431/
Кен Шемрок;11 февраля 1964;США;98;185;https://www.sports.ru/tags/5840792/
Карен Тевосян;24 мая 1986;Россия;63;170;https://www.sports.ru/tags/5632418/
Грачья Джавахян;6 июля 1984;Армения;60;178;https://www.sports.ru/tags/5508028/
Рониэль Иглесиас Сотолонго;14 августа 1988;Куба;64;177;https://www.sports.ru/tags/5491690/
Чжан Сяопин;1 апреля 1982;Китай;;;https://www.sports.ru/tags/5467621/
Дэвид Прайс;6 июля 1983;Англия;;;https://www.sports.ru/tags/5451302/
Клементе Руссо;27 июля 1982;Италия;;;https://www.sports.ru/tags/5414365/
Альфонсо Бланко;2 февраля 1986;Венесуэла;77;180;https://www.sports.ru/tags/5403741/
Марио Канделан;10 августа 1971;Куба;;;https://www.sports.ru/tags/5368877/
Георгий Чигаев;19 октября 1983;Украина;;164;https://www.sports.ru/tags/5345040/
Сезар Канчила;15 марта 1982;Колумбия;;175;https://www.sports.ru/tags/5320105/
Зу Шимин;18 мая 1981;Китай;;165;https://www.sports.ru/tags/5290056/
Уго Пинеда;14 апреля 1971;Колумбия;90;185;https://www.sports.ru/tags/5179924/
